accession_a,accession_b,sequence_feature_distance,audio_feature_distance
GCF_028891345.1,GCF_042243345.1,0.009373145907193106,0.11860882616990298
GCF_028891345.1,GCF_042239055.1,0.006302336427424716,0.15449666608288948
GCF_028891345.1,GCF_055765255.1,0.007968901747526342,0.1663283294993588
GCF_028891345.1,GCF_012974125.1,0.007560878435476225,0.466784505717175
GCF_028891345.1,GCF_012974145.1,0.011223551901423658,1.2430569240419544
GCF_028891345.1,GCF_021459905.1,0.009984047461010176,0.34329010691008455
GCF_028891345.1,GCF_004023395.2,0.007332739874976759,0.31807495773485794
GCF_028891345.1,GCF_000019325.1,0.006827954070592706,0.14642652304131948
GCF_028891345.1,GCF_000019765.1,0.008379490688432733,0.13082297211479985
GCF_028891345.1,GCF_000007245.1,0.007060606241239286,0.23661703627437794
GCF_028891345.1,GCF_000006725.1,0.010046052907104657,1.0555584566326786
GCF_001456235.1,GCF_001456195.2,0.004964848660555751,0.24254991082239807
GCF_001456235.1,GCF_001456275.1,0.005568182871801814,0.2010590263632536
GCF_001456235.1,GCF_001456295.2,0.010346403024991613,0.23079928773793326
GCF_001456235.1,GCF_032594475.1,0.00810547368780528,0.1665896478029511
GCF_001456235.1,GCF_032594455.1,0.00802767781560215,0.16841353679151067
GCF_001456235.1,GCF_002954205.1,0.006624670967836728,0.17158664833580362
GCF_001456235.1,GCF_042243345.1,0.010379669111498582,0.24777563127205426
GCF_001456235.1,GCF_042239055.1,0.0073564618441338695,0.3189760604551109
GCF_001456235.1,GCF_055765255.1,0.008853268908734805,0.35639785279239106
GCF_001456235.1,GCF_012974125.1,0.008147227431145817,0.3487589946860959
GCF_001456235.1,GCF_012974145.1,0.011077141127364756,1.1615092055688478
GCF_001456235.1,GCF_021459905.1,0.010656889326790292,0.48733418015912394
GCF_001456235.1,GCF_004023395.2,0.007144068592152697,0.14500855466778576
GCF_001456235.1,GCF_000019325.1,0.008091015822320281,0.32661157009114505
GCF_001456235.1,GCF_000019765.1,0.009001964806105961,0.1661450636588463
GCF_001456235.1,GCF_000007245.1,0.008222383632049336,0.1591949598000002
GCF_001456235.1,GCF_000006725.1,0.006542489332560404,1.1410821987161797
GCF_001456195.2,GCF_001456275.1,0.006075426114202667,0.1416632424293753
GCF_001456195.2,GCF_001456295.2,0.01254578036386225,0.043644531540382364
GCF_001456195.2,GCF_032594475.1,0.0081146928925709,0.21154761276879172
GCF_001456195.2,GCF_032594455.1,0.00803880634220076,0.20366705312776917
GCF_001456195.2,GCF_002954205.1,0.006984334322319196,0.12470038939580898
GCF_001456195.2,GCF_042243345.1,0.011067605103004424,0.10354224817170524
GCF_001456195.2,GCF_042239055.1,0.007762570450565968,0.21665878285634915
GCF_001456195.2,GCF_055765255.1,0.008257904929651373,0.20654101931246352
GCF_001456195.2,GCF_012974125.1,0.009352599163393626,0.31179311084223105
GCF_001456195.2,GCF_012974145.1,0.013354111125440637,1.1597107663756168
GCF_001456195.2,GCF_021459905.1,0.00906802481657798,0.49876320539513314
GCF_001456195.2,GCF_004023395.2,0.008462132425410576,0.2397048069943465
GCF_001456195.2,GCF_000019325.1,0.008869245656678959,0.14602851015019383
GCF_001456195.2,GCF_000019765.1,0.0082198025718984,0.19351480886769193
GCF_001456195.2,GCF_000007245.1,0.008933231411801124,0.13192868979961003
GCF_001456195.2,GCF_000006725.1,0.004533993688287633,1.0889404049763347
GCF_001456275.1,GCF_001456295.2,0.009771235184818603,0.13703099626596255
GCF_001456275.1,GCF_032594475.1,0.009514769221233526,0.2277833007497473
GCF_001456275.1,GCF_032594455.1,0.0094423069476599,0.22177638379288026
GCF_001456275.1,GCF_002954205.1,0.0065393490822675164,0.1490054980113082
GCF_001456275.1,GCF_042243345.1,0.00934671494413483,0.1843516352469673
GCF_001456275.1,GCF_042239055.1,0.007776085133278796,0.27214448440259387
GCF_001456275.1,GCF_055765255.1,0.009189720169304551,0.2960793249743473
GCF_001456275.1,GCF_012974125.1,0.009785924636315873,0.2352038697569255
GCF_001456275.1,GCF_012974145.1,0.012249615766208867,1.1242669653582
GCF_001456275.1,GCF_021459905.1,0.00949361383792828,0.5352675365815213
GCF_001456275.1,GCF_004023395.2,0.008124078295298955,0.1684598631376613
GCF_001456275.1,GCF_000019325.1,0.008497919135272428,0.26049733714666357
GCF_001456275.1,GCF_000019765.1,0.008303912881033968,0.1920328215072773
GCF_001456275.1,GCF_000007245.1,0.009091708676957612,0.058927091487200246
GCF_001456275.1,GCF_000006725.1,0.006469648987749748,1.1257029046935911
GCF_001456295.2,GCF_032594475.1,0.012192004311670935,0.22786709141662753
GCF_001456295.2,GCF_032594455.1,0.012114049082993891,0.22075706860574124
GCF_001456295.2,GCF_002954205.1,0.009301300851540302,0.1438816503130457
GCF_001456295.2,GCF_042243345.1,0.009605970044395703,0.13851659661756896
GCF_001456295.2,GCF_042239055.1,0.010645805700478746,0.2540565994903029
GCF_001456295.2,GCF_055765255.1,0.012764963381203137,0.24544617334681043
GCF_001456295.2,GCF_012974125.1,0.012642994449179181,0.282795941716955
GCF_001456295.2,GCF_012974145.1,0.01199456152482615,1.1433508920286037
GCF_001456295.2,GCF_021459905.1,0.014286970667856702,0.5293895906267817
GCF_001456295.2,GCF_004023395.2,0.010940327764968394,0.21030090738358323
GCF_001456295.2,GCF_000019325.1,0.00994710392743587,0.1828264195902527
GCF_001456295.2,GCF_000019765.1,0.012476618873657986,0.21141539179726046
GCF_001456295.2,GCF_000007245.1,0.012243603772310416,0.11842457407879857
GCF_001456295.2,GCF_000006725.1,0.012366891282775959,1.1045454290113286
GCF_032594475.1,GCF_032594455.1,0.00021451927307010238,0.008811655647989877
GCF_032594475.1,GCF_002954205.1,0.007892309508801324,0.094132172845831
GCF_032594475.1,GCF_042243345.1,0.009781801571045521,0.15045106934296235
GCF_032594475.1,GCF_042239055.1,0.006007839528688256,0.16934394552194612
GCF_032594475.1,GCF_055765255.1,0.007229291412094802,0.2169275625037611
GCF_032594475.1,GCF_012974125.1,0.007508778812780359,0.44525176238729075
GCF_032594475.1,GCF_012974145.1,0.011032226922258147,1.2292554593375966
GCF_032594475.1,GCF_021459905.1,0.010411904096445579,0.3354256272241094
GCF_032594475.1,GCF_004023395.2,0.007575427299197855,0.2801745737762312
GCF_032594475.1,GCF_000019325.1,0.0070528756940382515,0.21499021399714843
GCF_032594475.1,GCF_000019765.1,0.008137449626249802,0.047743729581963816
GCF_032594475.1,GCF_000007245.1,0.007103928664417726,0.2073804498124685
GCF_032594475.1,GCF_000006725.1,0.008765992439923168,1.0724485445134964
GCF_032594455.1,GCF_002954205.1,0.007851637400984766,0.08620775631364212
GCF_032594455.1,GCF_042243345.1,0.009772411721995625,0.14189216740253147
GCF_032594455.1,GCF_042239055.1,0.006017277079941565,0.16318968171551873
GCF_032594455.1,GCF_055765255.1,0.007260962338015129,0.21008751222493946
GCF_032594455.1,GCF_012974125.1,0.007512508088366875,0.4403841766296116
GCF_032594455.1,GCF_012974145.1,0.011028305333029117,1.2270369177228613
GCF_032594455.1,GCF_021459905.1,0.01040635193013513,0.338225676344308
GCF_032594455.1,GCF_004023395.2,0.007559947661325129,0.27828354609972217
GCF_032594455.1,GCF_000019325.1,0.0070316085299537605,0.20725335382232893
GCF_032594455.1,GCF_000019765.1,0.008148034300551452,0.04324836882063138
GCF_032594455.1,GCF_000007245.1,0.007111785992280707,0.20213104326788814
GCF_032594455.1,GCF_000006725.1,0.00867511340517185,1.0712581058788844
GCF_002954205.1,GCF_042243345.1,0.008325160807404012,0.08187228801789526
GCF_002954205.1,GCF_042239055.1,0.006728667708826336,0.15965990095916582
GCF_002954205.1,GCF_055765255.1,0.009072327685309287,0.1913823453394701
GCF_002954205.1,GCF_012974125.1,0.009229291132845182,0.3698951061821657
GCF_002954205.1,GCF_012974145.1,0.011851597798203007,1.1908551043456035
GCF_002954205.1,GCF_021459905.1,0.009424085900591541,0.40264828260425944
GCF_002954205.1,GCF_004023395.2,0.008483991824839904,0.23608868614283515
GCF_002954205.1,GCF_000019325.1,0.008025361035684709,0.16608720283127548
GCF_002954205.1,GCF_000019765.1,0.00860055446102382,0.07341836399663744
GCF_002954205.1,GCF_000007245.1,0.009644967663738839,0.13323016650191682
GCF_002954205.1,GCF_000006725.1,0.007357007241776757,1.077063258731033
GCF_042243345.1,GCF_042239055.1,0.008331940624362445,0.12517419337278513
GCF_042243345.1,GCF_055765255.1,0.009129743820185875,0.12998721835008395
GCF_042243345.1,GCF_012974125.1,0.01153948267877842,0.3946317051170179
GCF_042243345.1,GCF_012974145.1,0.01311468289389444,1.2060402157567418
GCF_042243345.1,GCF_021459905.1,0.00796783076881618,0.40203642985768967
GCF_042243345.1,GCF_004023395.2,0.008511839974593415,0.293015757922335
GCF_042243345.1,GCF_000019325.1,0.00788541981628197,0.09001359070759327
GCF_042243345.1,GCF_000019765.1,0.007133238144051621,0.13800022104369294
GCF_042243345.1,GCF_000007245.1,0.009459980685387325,0.17755933735972576
GCF_042243345.1,GCF_000006725.1,0.01090912094318725,1.0591369074158972
GCF_042239055.1,GCF_055765255.1,0.006188125825689705,0.07578957988077312
GCF_042239055.1,GCF_012974125.1,0.005691701236270484,0.4993386009156829
GCF_042239055.1,GCF_012974145.1,0.009220152043415754,1.2685628413640777
GCF_042239055.1,GCF_021459905.1,0.009462102773109627,0.3020112321257717
GCF_042239055.1,GCF_004023395.2,0.006757259470788107,0.39349675126947775
GCF_042239055.1,GCF_000019325.1,0.004820497003217064,0.13008095764821245
GCF_042239055.1,GCF_000019765.1,0.007034921709357546,0.1596095509817698
GCF_042239055.1,GCF_000007245.1,0.005992026595071941,0.27910439354269984
GCF_042239055.1,GCF_000006725.1,0.009087233277625005,1.0308716453472295
GCF_055765255.1,GCF_012974125.1,0.009355540709938073,0.5074041173564148
GCF_055765255.1,GCF_012974145.1,0.012803535632447703,1.272423710194241
GCF_055765255.1,GCF_021459905.1,0.008782170138734446,0.34134250353606943
GCF_055765255.1,GCF_004023395.2,0.007205549130469165,0.4169157274908174
GCF_055765255.1,GCF_000019325.1,0.007593672235795494,0.08173017587829971
GCF_055765255.1,GCF_000019765.1,0.005361528481162904,0.21171906927504386
GCF_055765255.1,GCF_000007245.1,0.006131033183830809,0.300681615486837
GCF_055765255.1,GCF_000006725.1,0.00946287906754142,1.025336225496295
GCF_012974125.1,GCF_012974145.1,0.006524956837282149,1.0389394486763186
GCF_012974125.1,GCF_021459905.1,0.012779446750906679,0.7676832860684265
GCF_012974125.1,GCF_004023395.2,0.007145751133314068,0.21312115650211663
GCF_012974125.1,GCF_000019325.1,0.006406926228988727,0.453334768746578
GCF_012974125.1,GCF_000019765.1,0.00968239939398759,0.4170615913908275
GCF_012974125.1,GCF_000007245.1,0.006699601517540216,0.23980276492688202
GCF_012974125.1,GCF_000006725.1,0.011501822185212524,1.2397458477611547
GCF_012974145.1,GCF_021459905.1,0.016490098038924247,1.4448826913963877
GCF_012974145.1,GCF_004023395.2,0.009155786472276752,1.0958330885857301
GCF_012974145.1,GCF_000019325.1,0.008370469107906661,1.2377137682822308
GCF_012974145.1,GCF_000019765.1,0.012880664282003431,1.2145753156529946
GCF_012974145.1,GCF_000007245.1,0.009115969233259205,1.1247369198082822
GCF_012974145.1,GCF_000006725.1,0.015358781217721261,1.7391444448466629
GCF_021459905.1,GCF_004023395.2,0.009518592916556056,0.6132175844254344
GCF_021459905.1,GCF_000019325.1,0.010073161382947938,0.401645320867689
GCF_021459905.1,GCF_000019765.1,0.0064323281694120904,0.35550547559504825
GCF_021459905.1,GCF_000007245.1,0.01052200662691248,0.5306756830521654
GCF_021459905.1,GCF_000006725.1,0.008531495751220093,1.036762496124239
GCF_004023395.2,GCF_000019325.1,0.006044477634712799,0.36903897612688485
GCF_004023395.2,GCF_000019765.1,0.00662181672882325,0.2651818318585323
GCF_004023395.2,GCF_000007245.1,0.005119654695146044,0.12931088833809304
GCF_004023395.2,GCF_000006725.1,0.009715367424731334,1.1839897870069307
GCF_000019325.1,GCF_000019765.1,0.007404492713594834,0.21142056663678035
GCF_000019325.1,GCF_000007245.1,0.0060488877663481735,0.2564460250104849
GCF_000019325.1,GCF_000006725.1,0.00986835258369144,1.0415998805037672
GCF_000019765.1,GCF_000007245.1,0.006485696513040003,0.18081431385390978
GCF_000019765.1,GCF_000006725.1,0.009109717034268648,1.075285304946944
GCF_000007245.1,GCF_000006725.1,0.010825941922923786,1.127992437243528
