accession,paired,source,level,strain,host,geo,subspecies,length,gc,release
GCA_048564955.1,GCF_048564955.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8074,Coffee,Ecuador,,2614665,52.5,2025-03-12
GCF_048564955.1,GCA_048564955.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8074,Coffee,Ecuador,,2614665,52.5,2025-03-12
GCA_050157135.1,GCF_050157135.1,SOURCE_DATABASE_GENBANK,Complete Genome,GR31,Vitis vinifera,Italy:Apulia,,2611756,51.5,2025-05-05
GCF_050157135.1,GCA_050157135.1,SOURCE_DATABASE_REFSEQ,Complete Genome,GR31,Vitis vinifera,Italy:Apulia,,2611756,51.5,2025-05-05
GCA_050157125.1,GCF_050157125.1,SOURCE_DATABASE_GENBANK,Complete Genome,AL21,Prunus dulcis,Italy:Apulia,,2588276,51.5,2025-05-05
GCF_050157125.1,GCA_050157125.1,SOURCE_DATABASE_REFSEQ,Complete Genome,AL21,Prunus dulcis,Italy:Apulia,,2588276,51.5,2025-05-05
GCA_056675095.1,GCF_056675095.1,SOURCE_DATABASE_GENBANK,Complete Genome,906/24,Cistus sp.,Spain:Caceres,,2534294,51.5,2026-04-11
GCF_056675095.1,GCA_056675095.1,SOURCE_DATABASE_REFSEQ,Complete Genome,906/24,Cistus sp.,Spain:Caceres,,2534294,51.5,2026-04-11
GCA_056675055.1,GCF_056675055.1,SOURCE_DATABASE_GENBANK,Complete Genome,1118/24,Cistus sp.,Spain:Valverde del Fresno Caceres,,2533848,51.5,2026-04-11
GCF_056675055.1,GCA_056675055.1,SOURCE_DATABASE_REFSEQ,Complete Genome,1118/24,Cistus sp.,Spain:Valverde del Fresno Caceres,,2533848,51.5,2026-04-11
GCA_056675075.1,GCF_056675075.1,SOURCE_DATABASE_GENBANK,Complete Genome,1116/24,Cistus ladanifer,Spain:Valverde del Fresno Caceres,,2532475,51.5,2026-04-11
GCF_056675075.1,GCA_056675075.1,SOURCE_DATABASE_REFSEQ,Complete Genome,1116/24,Cistus ladanifer,Spain:Valverde del Fresno Caceres,,2532475,51.5,2026-04-11
GCA_051048065.1,GCF_051048065.1,SOURCE_DATABASE_GENBANK,Complete Genome,LSV52.52,Myoporum sp.,France: Villeneuve Loubet,,2524893,52,2025-06-25
GCF_051048065.1,GCA_051048065.1,SOURCE_DATABASE_REFSEQ,Complete Genome,LSV52.52,Myoporum sp.,France: Villeneuve Loubet,,2524893,52,2025-06-25
GCA_002954205.1,GCF_002954205.1,SOURCE_DATABASE_GENBANK,Complete Genome,Salento-2,Olea europaea,"Italy: Ugento, Lecce, Apulia",,2543566,52,2018-02-27
GCF_002954205.1,GCA_002954205.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Salento-2,Olea europaea,"Italy: Ugento, Lecce, Apulia",,2543566,52,2018-02-27
GCA_042243345.1,GCF_042243345.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8070,Prunus sp.,USA: Georgia,,2867959,52,2024-09-25
GCF_042243345.1,GCA_042243345.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8070,Prunus sp.,USA: Georgia,,2867959,52,2024-09-25
GCA_042239055.1,GCF_042239055.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL1752/17,Prunus dulcis,"Spain: Ciudatella, Menorca",,2769601,52,2024-09-25
GCF_042239055.1,GCA_042239055.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL1752/17,Prunus dulcis,"Spain: Ciudatella, Menorca",,2769601,52,2024-09-25
GCA_055765255.1,GCF_055765255.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8082,Ambrosia artemisiifolia,USA: Florida,,2800184,51.5,2026-03-10
GCF_055765255.1,GCA_055765255.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8082,Ambrosia artemisiifolia,USA: Florida,,2800184,51.5,2026-03-10
GCA_046605575.1,GCF_046605575.1,SOURCE_DATABASE_GENBANK,Complete Genome,IAS-AXF64H11,petiole from symptomatic leaf,Spain: Alicante,,2712445,52.5,2025-01-13
GCF_046605575.1,GCA_046605575.1,SOURCE_DATABASE_REFSEQ,Complete Genome,IAS-AXF64H11,petiole from symptomatic leaf,Spain: Alicante,,2712445,52.5,2025-01-13
GCA_042238405.1,GCF_042238405.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL1966/18,Olea europaea,"Spain: Ciudatella, Menorca",,2708059,52,2024-09-25
GCF_042238405.1,GCA_042238405.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL1966/18,Olea europaea,"Spain: Ciudatella, Menorca",,2708059,52,2024-09-25
GCA_042244175.1,GCF_042244175.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8418,Spartium junceum,"France: Alata, Corcica",,2692457,52,2024-09-25
GCF_042244175.1,GCA_042244175.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8418,Spartium junceum,"France: Alata, Corcica",,2692457,52,2024-09-25
GCA_055690565.1,GCF_055690565.1,SOURCE_DATABASE_GENBANK,Complete Genome,BA_AL92_2,Prunus dulcis,Italy: Apulia,,2756492,52,2026-03-05
GCF_055690565.1,GCA_055690565.1,SOURCE_DATABASE_REFSEQ,Complete Genome,BA_AL92_2,Prunus dulcis,Italy: Apulia,,2756492,52,2026-03-05
GCA_042239545.1,GCF_042239545.1,SOURCE_DATABASE_GENBANK,Complete Genome,XF3348,Prunus dulcis,"Spain: Binissalem, Mallorca",,2682254,52,2024-09-25
GCF_042239545.1,GCA_042239545.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XF3348,Prunus dulcis,"Spain: Binissalem, Mallorca",,2682254,52,2024-09-25
GCA_012974125.1,GCF_012974125.1,SOURCE_DATABASE_GENBANK,Complete Genome,RH1,Olea europaea,USA:California,,2678425,52,2020-05-05
GCF_012974125.1,GCA_012974125.1,SOURCE_DATABASE_REFSEQ,Complete Genome,RH1,Olea europaea,USA:California,,2678425,52,2020-05-05
GCA_042244685.1,GCF_042244685.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8417,Spartium junceum,"France: Alata, Corcica",,2672285,52,2024-09-25
GCF_042244685.1,GCA_042244685.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8417,Spartium junceum,"France: Alata, Corcica",,2672285,52,2024-09-25
GCA_001971505.2,GCF_001971505.2,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8417,Spartium junceum,"France: Corse, Alata",,2672242,52,2025-12-17
GCF_001971505.2,GCA_001971505.2,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8417,Spartium junceum,"France: Corse, Alata",,2672242,52,2025-12-18
GCA_012974145.1,GCF_012974145.1,SOURCE_DATABASE_GENBANK,Complete Genome,LM10,Olea europaea,USA:California,,2669650,52,2020-05-05
GCF_012974145.1,GCA_012974145.1,SOURCE_DATABASE_REFSEQ,Complete Genome,LM10,Olea europaea,USA:California,,2669650,52,2020-05-05
GCA_028226975.1,GCF_028226975.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8073,Coffea canephora,France,,2741778,52,2023-01-30
GCF_028226975.1,GCA_028226975.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8073,Coffea canephora,France,,2741778,52,2023-01-30
GCA_055764455.1,GCF_055764455.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL2017/18,Prunus dulcis,Spain: Mallorca,,2667345,52,2026-03-10
GCF_055764455.1,GCA_055764455.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL2017/18,Prunus dulcis,Spain: Mallorca,,2667345,52,2026-03-10
GCA_055690575.1,GCF_055690575.1,SOURCE_DATABASE_GENBANK,Complete Genome,BA_CH92_4,Prunus avium,Italy: Apulia,,2693813,52,2026-03-05
GCF_055690575.1,GCA_055690575.1,SOURCE_DATABASE_REFSEQ,Complete Genome,BA_CH92_4,Prunus avium,Italy: Apulia,,2693813,52,2026-03-05
GCA_055959285.1,GCF_055959285.1,SOURCE_DATABASE_GENBANK,Complete Genome,IVIA6629,Helicrysum italicum,"Spain: Callosa d'en Sarria, Alicante",,2622485,52,2026-03-16
GCF_055959285.1,GCA_055959285.1,SOURCE_DATABASE_REFSEQ,Complete Genome,IVIA6629,Helicrysum italicum,"Spain: Callosa d'en Sarria, Alicante",,2622485,52,2026-03-16
GCA_021459905.1,GCF_021459905.1,SOURCE_DATABASE_GENBANK,Complete Genome,Oak 35874,Quercus,USA: Washington DC,,2648027,52,2022-01-13
GCF_021459905.1,GCA_021459905.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Oak 35874,Quercus,USA: Washington DC,,2648027,52,2022-01-13
GCA_055959565.1,GCF_055959565.1,SOURCE_DATABASE_GENBANK,Complete Genome,IAS-AXF235T10,Prunus dulcis,"Spain: Castell de Guadalest, Alicante",,2619904,52,2026-03-16
GCF_055959565.1,GCA_055959565.1,SOURCE_DATABASE_REFSEQ,Complete Genome,IAS-AXF235T10,Prunus dulcis,"Spain: Castell de Guadalest, Alicante",,2619904,52,2026-03-16
GCA_055959275.1,GCF_055959275.1,SOURCE_DATABASE_GENBANK,Complete Genome,IVIA6902,Prunus dulcis,"Spain: Castell de Castells, Alicante",,2608764,52,2026-03-16
GCF_055959275.1,GCA_055959275.1,SOURCE_DATABASE_REFSEQ,Complete Genome,IVIA6902,Prunus dulcis,"Spain: Castell de Castells, Alicante",,2608764,52,2026-03-16
GCA_055959555.1,GCF_055959555.1,SOURCE_DATABASE_GENBANK,Complete Genome,IAS-AXF212H7,Prunus dulcis,"Spain: Benimantell, Alicante",,2594979,52,2026-03-16
GCF_055959555.1,GCA_055959555.1,SOURCE_DATABASE_REFSEQ,Complete Genome,IAS-AXF212H7,Prunus dulcis,"Spain: Benimantell, Alicante",,2594979,52,2026-03-16
GCA_042240315.1,GCF_042240315.1,SOURCE_DATABASE_GENBANK,Complete Genome,Santa29b,Santolina chamaecyparissus,"Spain: Alcafar, Menorca",,2593199,52,2024-09-25
GCF_042240315.1,GCA_042240315.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Santa29b,Santolina chamaecyparissus,"Spain: Alcafar, Menorca",,2593199,52,2024-09-25
GCA_057654775.1,GCF_057654775.1,SOURCE_DATABASE_GENBANK,Complete Genome,H66,Xylem,Italy: Triggiano,,2571933,52,2026-05-19
GCF_057654775.1,GCA_057654775.1,SOURCE_DATABASE_REFSEQ,Complete Genome,H66,Xylem,Italy: Triggiano,,2571933,52,2026-05-20
GCA_004023395.2,GCF_004023395.2,SOURCE_DATABASE_GENBANK,Complete Genome,IVIA5901,Prunus dulcis,"Spain: Bolulla, Alicante province",,2559157,52,2020-08-27
GCF_004023395.2,GCA_004023395.2,SOURCE_DATABASE_REFSEQ,Complete Genome,IVIA5901,Prunus dulcis,"Spain: Bolulla, Alicante province",,2559157,52,2020-08-27
GCA_004016315.2,GCF_004016315.2,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 7970,grapevine,USA: Florida,,2600843,52,2025-12-17
GCF_004016315.2,GCA_004016315.2,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 7970,grapevine,USA: Florida,,2600843,52,2025-12-18
GCA_055766025.1,GCF_055766025.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 7970,grapevine,USA: Florida,,2642619,51.5,2026-03-10
GCF_055766025.1,GCA_055766025.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 7970,grapevine,USA: Florida,,2642619,51.5,2026-03-10
GCA_028735855.1,GCF_028735855.1,SOURCE_DATABASE_GENBANK,Complete Genome,ICMP 8742,Ulmus americana,not collected,,2598507,52,2023-02-19
GCF_028735855.1,GCA_028735855.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ICMP 8742,Ulmus americana,not collected,,2598507,52,2023-02-19
GCA_053901445.1,GCF_053901445.1,SOURCE_DATABASE_GENBANK,Complete Genome,TemeculaL,Vitis vinifera,USA: California,,2593391,51.5,2025-12-10
GCF_053901445.1,GCA_053901445.1,SOURCE_DATABASE_REFSEQ,Complete Genome,TemeculaL,Vitis vinifera,USA: California,,2593391,51.5,2025-12-10
GCA_015476015.1,GCF_015476015.1,SOURCE_DATABASE_GENBANK,Complete Genome,Bakersfield-11,Vitis vinifera,"USA:Bakersfield, California",,2592804,51.5,2020-11-15
GCF_015476015.1,GCA_015476015.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Bakersfield-11,Vitis vinifera,"USA:Bakersfield, California",,2592804,51.5,2020-11-15
GCA_015476035.1,GCF_015476035.1,SOURCE_DATABASE_GENBANK,Complete Genome,Bakersfield-8,Vitis vinifera,"USA:Bakersfield, California",,2592185,51.5,2020-11-15
GCF_015476035.1,GCA_015476035.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Bakersfield-8,Vitis vinifera,"USA:Bakersfield, California",,2592185,51.5,2020-11-15
GCA_018069665.1,GCF_018069665.1,SOURCE_DATABASE_GENBANK,Complete Genome,BB08-1,Vaccinium,"USA: Palatka, Putnam County, Florida",,2553631,52,2021-04-18
GCF_018069665.1,GCA_018069665.1,SOURCE_DATABASE_REFSEQ,Complete Genome,BB08-1,Vaccinium,"USA: Palatka, Putnam County, Florida",,2553631,52,2021-04-18
GCA_004023385.2,GCF_004023385.2,SOURCE_DATABASE_GENBANK,Complete Genome,ESVL,Prunus dulcis,"Spain: Benimantell, Alicante province",,2613641,52,2023-08-24
GCF_004023385.2,GCA_004023385.2,SOURCE_DATABASE_REFSEQ,Complete Genome,ESVL,Prunus dulcis,"Spain: Benimantell, Alicante province",,2613641,52,2023-08-24
GCA_028735895.1,GCF_028735895.1,SOURCE_DATABASE_GENBANK,Complete Genome,ICMP 8740,Platanus occidentalis,not collected,,2548838,52,2023-02-19
GCF_028735895.1,GCA_028735895.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ICMP 8740,Platanus occidentalis,not collected,,2548838,52,2023-02-19
GCA_042241145.1,GCF_042241145.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8173,Prunus salicina,USA: Georgia,,2548622,52,2024-09-25
GCF_042241145.1,GCA_042241145.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8173,Prunus salicina,USA: Georgia,,2548622,52,2024-09-25
GCA_053901405.1,GCF_053901405.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8173,Prunus sp.,USA: Georgia,,2548613,52,2025-12-10
GCF_053901405.1,GCA_053901405.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8173,Prunus sp.,USA: Georgia,,2548613,52,2025-12-10
GCA_042241895.1,GCF_042241895.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8068,Ulmus sp.,USA: Washington,,2548602,52,2024-09-25
GCF_042241895.1,GCA_042241895.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8068,Ulmus sp.,USA: Washington,,2548602,52,2024-09-25
GCA_053901255.1,GCF_053901255.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8068,Ulmus americana,"USA: Washington, DC",,2548573,52,2025-12-10
GCF_053901255.1,GCA_053901255.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8068,Ulmus americana,"USA: Washington, DC",,2548573,52,2025-12-10
GCA_021459925.1,GCF_021459925.1,SOURCE_DATABASE_GENBANK,Complete Genome,Stag's Leap,Vitis vinifera,"USA:Napa County, California",,2543277,52,2022-01-13
GCF_021459925.1,GCA_021459925.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Stag's Leap,Vitis vinifera,"USA:Napa County, California",,2543277,52,2022-01-13
GCA_028228315.1,GCF_028228315.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL461,Rhamnus alaternus,Spain: Mallorca,,2578891,51.5,2023-01-30
GCF_028228315.1,GCA_028228315.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL461,Rhamnus alaternus,Spain: Mallorca,,2578891,51.5,2023-01-30
GCA_055764445.1,GCF_055764445.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL2153/18,Vitis vinifera,Spain: Mallorca,,2578721,51.5,2026-03-10
GCF_055764445.1,GCA_055764445.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL2153/18,Vitis vinifera,Spain: Mallorca,,2578721,51.5,2026-03-10
GCA_055765245.1,GCF_055765245.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL2014/18,Prunus dulcis,Spain: Mallorca,,2578621,51.5,2026-03-10
GCF_055765245.1,GCA_055765245.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL2014/18,Prunus dulcis,Spain: Mallorca,,2578621,51.5,2026-03-10
GCA_055763705.1,GCF_055763705.1,SOURCE_DATABASE_GENBANK,Complete Genome,XYL2093/18,Prunus dulcis,Spain: Mallorca,,2578440,51.5,2026-03-10
GCF_055763705.1,GCA_055763705.1,SOURCE_DATABASE_REFSEQ,Complete Genome,XYL2093/18,Prunus dulcis,Spain: Mallorca,,2578440,51.5,2026-03-10
GCA_003515915.2,GCF_003515915.2,SOURCE_DATABASE_GENBANK,Complete Genome,IVIA5235,Prunus avium,Spain: Mallorca Island,,2576214,51.5,2020-08-27
GCF_003515915.2,GCA_003515915.2,SOURCE_DATABASE_REFSEQ,Complete Genome,IVIA5235,Prunus avium,Spain: Mallorca Island,,2576214,51.5,2020-08-27
GCA_009664125.2,GCF_009664125.1,SOURCE_DATABASE_GENBANK,Complete Genome,Bakersfield-1,Vitis vinifera,USA:Bakersfield,,2575627,51.5,2020-02-24
GCF_009664125.1,GCA_009664125.2,SOURCE_DATABASE_REFSEQ,Complete Genome,Bakersfield-1,Vitis vinifera,USA:Bakersfield,,2575627,51.5,2020-02-24
GCA_015475995.1,GCF_015475995.1,SOURCE_DATABASE_GENBANK,Complete Genome,Bakersfield-13,Vitis vinifera,"USA:Bakersfield, California",,2575582,51.5,2020-11-15
GCF_015475995.1,GCA_015475995.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Bakersfield-13,Vitis vinifera,"USA:Bakersfield, California",,2575582,51.5,2020-11-15
GCA_015475975.1,GCF_015475975.1,SOURCE_DATABASE_GENBANK,Complete Genome,Bakersfield-14,Vitis vinifera,"USA:Bakersfield, California",,2575180,51.5,2020-11-15
GCF_015475975.1,GCA_015475975.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Bakersfield-14,Vitis vinifera,"USA:Bakersfield, California",,2575180,51.5,2020-11-15
GCA_021459945.1,GCF_021459945.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv13,Cercis occidentalis,"USA:Riverside, California",,2636411,51.5,2022-01-13
GCF_021459945.1,GCA_021459945.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv13,Cercis occidentalis,"USA:Riverside, California",,2636411,51.5,2022-01-13
GCA_028228155.1,GCF_028228155.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8351,Vitis vinifera,USA: California,,2573150,51.5,2023-01-30
GCF_028228155.1,GCA_028228155.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8351,Vitis vinifera,USA: California,,2573150,51.5,2023-01-30
GCA_012974105.1,GCF_012974105.1,SOURCE_DATABASE_GENBANK,Complete Genome,Fillmore,Olea europaea,USA:California,,2526544,52,2020-05-05
GCF_012974105.1,GCA_012974105.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Fillmore,Olea europaea,USA:California,,2526544,52,2020-05-05
GCA_021459845.1,GCF_021459845.1,SOURCE_DATABASE_GENBANK,Complete Genome,LA-Y3C,Vaccinium virgatum,"USA:East Feliciana Parish, Louisiana",,2526390,52,2022-01-13
GCF_021459845.1,GCA_021459845.1,SOURCE_DATABASE_REFSEQ,Complete Genome,LA-Y3C,Vaccinium virgatum,"USA:East Feliciana Parish, Louisiana",,2526390,52,2022-01-13
GCA_028227635.1,GCF_028227635.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8083,Vitis vinifera,USA: North Carolina,,2515619,51.5,2023-01-30
GCF_028227635.1,GCA_028227635.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8083,Vitis vinifera,USA: North Carolina,,2515619,51.5,2023-01-30
GCA_014249995.1,GCF_014249995.1,SOURCE_DATABASE_GENBANK,Complete Genome,GV230,Vitis labrusca x Vitis vinifera cultivar Black Queen,"Taiwan: Waipu District, Taichung City",,2514993,51.5,2020-08-19
GCF_014249995.1,GCA_014249995.1,SOURCE_DATABASE_REFSEQ,Complete Genome,GV230,Vitis labrusca x Vitis vinifera cultivar Black Queen,"Taiwan: Waipu District, Taichung City",,2514993,51.5,2020-08-19
GCA_028227275.1,GCF_028227275.1,SOURCE_DATABASE_GENBANK,Complete Genome,WM1-1,Vitis vinifera,USA: Georgia,,2514513,51.5,2023-01-30
GCF_028227275.1,GCA_028227275.1,SOURCE_DATABASE_REFSEQ,Complete Genome,WM1-1,Vitis vinifera,USA: Georgia,,2514513,51.5,2023-01-30
GCA_055766035.1,GCF_055766035.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP7969,Vitis rotundifolia cv Carlos,USA: North Carolina Horticultural crops research station Castle Hayne,,2512899,51.5,2026-03-10
GCF_055766035.1,GCA_055766035.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP7969,Vitis rotundifolia cv Carlos,USA: North Carolina Horticultural crops research station Castle Hayne,,2512899,51.5,2026-03-10
GCA_001971475.2,GCF_001971475.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8416,Polygala myrtifolia,"France: Corse, Propriano",,2506765,52,2023-04-12
GCF_001971475.1,GCA_001971475.2,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8416,Polygala myrtifolia,"France: Corse, Propriano",,2506765,52,2023-04-12
GCA_015475955.1,GCF_015475955.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv5,Prunus cerasifera,"USA:Riverside, California",,2538293,52,2020-11-15
GCF_015475955.1,GCA_015475955.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv5,Prunus cerasifera,"USA:Riverside, California",,2538293,52,2020-11-15
GCA_028752655.1,GCF_028752655.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8433,Cistus monspeliensis,France,,2496778,52,2023-02-21
GCF_028752655.1,GCA_028752655.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8433,Cistus monspeliensis,France,,2496778,52,2023-02-21
GCA_018069645.1,GCF_018069645.1,SOURCE_DATABASE_GENBANK,Complete Genome,AlmaEM3,Vaccinium,"USA: Alma, Bacon County, Georgia",,2487451,52,2021-04-18
GCF_018069645.1,GCA_018069645.1,SOURCE_DATABASE_REFSEQ,Complete Genome,AlmaEM3,Vaccinium,"USA: Alma, Bacon County, Georgia",,2487451,52,2021-04-18
GCA_015475935.1,GCF_015475935.1,SOURCE_DATABASE_GENBANK,Complete Genome,Red Oak 2,Quercus rubra,USA:Georgia,,2476446,52,2020-11-15
GCF_015475935.1,GCA_015475935.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Red Oak 2,Quercus rubra,USA:Georgia,,2476446,52,2020-11-15
GCA_021459885.1,GCF_021459885.1,SOURCE_DATABASE_GENBANK,Complete Genome,Red Oak 8,Quercus rubra,USA:Georgia,,2476438,52,2022-01-13
GCF_021459885.1,GCA_021459885.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Red Oak 8,Quercus rubra,USA:Georgia,,2476438,52,2022-01-13
GCA_053901235.1,GCF_053901235.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8075,Prunus sp.,USA: California,,2439535,52,2025-12-10
GCF_053901235.1,GCA_053901235.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8075,Prunus sp.,USA: California,,2439535,52,2025-12-10
GCA_042242545.1,GCF_042242545.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8075,Prunus sp.,USA: California,,2439524,52,2024-09-25
GCF_042242545.1,GCA_042242545.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8075,Prunus sp.,USA: California,,2439524,52,2024-09-25
GCA_041053125.1,GCF_041053125.1,SOURCE_DATABASE_GENBANK,Complete Genome,50088,Coffea arabica,Brazil,,2896312,53,2024-08-05
GCF_041053125.1,GCA_041053125.1,SOURCE_DATABASE_REFSEQ,Complete Genome,50088,Coffea arabica,Brazil,,2896312,53,2024-08-05
GCA_029962045.1,GCF_029962045.1,SOURCE_DATABASE_GENBANK,Complete Genome,AM2-Angelina,Almond,Argentina: Catamarca,,2661210,52.5,2023-05-10
