accession,assembly_name,assembly_level,strain,host_group,host_or_source,host_group_description,inferred_subspecies_from_ani,geo_loc_name,release_date,sequence_length,gc_percent_ncbi,checkm_completeness,checkm_contamination,fasta,ncbi_ftp_url,selection_note
GCF_042239055.1,ASM4223905v1,Complete Genome,XYL1752/17,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Ciudatella, Menorca",2024-09-25,2769601,52,96.63,1.85,data\fastas\GCF_042239055.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/239/055/GCF_042239055.1_ASM4223905v1/GCF_042239055.1_ASM4223905v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042239545.1,ASM4223954v1,Complete Genome,XF3348,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Binissalem, Mallorca",2024-09-25,2682254,52,96.72,0.17,data\fastas\GCF_042239545.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/239/545/GCF_042239545.1_ASM4223954v1/GCF_042239545.1_ASM4223954v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_029962045.1,ASM2996204v1,Complete Genome,AM2-Angelina,almond,Almond,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,Argentina: Catamarca,2023-05-10,2661210,52.5,97.21,0.17,data\fastas\GCF_029962045.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/045/GCF_029962045.1_ASM2996204v1/GCF_029962045.1_ASM2996204v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055959565.1,ASM5595956v1,Complete Genome,IAS-AXF235T10,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Castell de Guadalest, Alicante",2026-03-16,2619904,52,96.61,0.17,data\fastas\GCF_055959565.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/959/565/GCF_055959565.1_ASM5595956v1/GCF_055959565.1_ASM5595956v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055959275.1,ASM5595927v1,Complete Genome,IVIA6902,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Castell de Castells, Alicante",2026-03-16,2608764,52,96.72,0.17,data\fastas\GCF_055959275.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/959/275/GCF_055959275.1_ASM5595927v1/GCF_055959275.1_ASM5595927v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055959555.1,ASM5595955v1,Complete Genome,IAS-AXF212H7,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Benimantell, Alicante",2026-03-16,2594979,52,96.7,0.17,data\fastas\GCF_055959555.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/959/555/GCF_055959555.1_ASM5595955v1/GCF_055959555.1_ASM5595955v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_029962025.1,ASM2996202v1,Complete Genome,ALM4,almond,Almond,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,Argentina: Catamarca,2023-05-10,2579484,52.5,97.3,0.17,data\fastas\GCF_029962025.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/025/GCF_029962025.1_ASM2996202v1/GCF_029962025.1_ASM2996202v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_004023395.2,ASM402339v2,Complete Genome,IVIA5901,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,multiplex,"Spain: Bolulla, Alicante province",2020-08-27,2559157,52,96.49,0.17,data\fastas\GCF_004023395.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/023/395/GCF_004023395.2_ASM402339v2/GCF_004023395.2_ASM402339v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055764455.1,ASM5576445v1,Complete Genome,XYL2017/18,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,not_resolved,Spain: Mallorca,2026-03-10,2667345,52,97,0.17,data\fastas\GCF_055764455.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/764/455/GCF_055764455.1_ASM5576445v1/GCF_055764455.1_ASM5576445v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_050157125.1,ASM5015712v1,Complete Genome,AL21,almond,Prunus dulcis,Prunus dulcis/almond-associated assemblies; almond leaf scorch context,not_resolved,Italy:Apulia,2025-05-05,2588276,51.5,97.26,0.17,data\fastas\GCF_050157125.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/157/125/GCF_050157125.1_ASM5015712v1/GCF_050157125.1_ASM5015712v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042238405.1,ASM4223840v1,Complete Genome,XYL1966/18,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,"Spain: Ciudatella, Menorca",2024-09-25,2708059,52,96.56,0.17,data\fastas\GCF_042238405.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/238/405/GCF_042238405.1_ASM4223840v1/GCF_042238405.1_ASM4223840v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_012974125.1,ASM1297412v1,Complete Genome,RH1,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,USA:California,2020-05-05,2678425,52,96.58,0.82,data\fastas\GCF_012974125.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/125/GCF_012974125.1_ASM1297412v1/GCF_012974125.1_ASM1297412v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_012974145.1,ASM1297414v1,Complete Genome,LM10,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,USA:California,2020-05-05,2669650,52,95.97,0.17,data\fastas\GCF_012974145.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/145/GCF_012974145.1_ASM1297414v1/GCF_012974145.1_ASM1297414v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_029962065.1,ASM2996206v1,Complete Genome,OLI17A,olive,Olive,Olea/olive-associated assemblies; olive quick decline context,multiplex,Argentina: La Rioja,2023-05-10,2649239,52.5,96.7,0.17,data\fastas\GCF_029962065.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/962/065/GCF_029962065.1_ASM2996206v1/GCF_029962065.1_ASM2996206v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_012974105.1,ASM1297410v1,Complete Genome,Fillmore,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,USA:California,2020-05-05,2526544,52,96.58,0.17,data\fastas\GCF_012974105.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/974/105/GCF_012974105.1_ASM1297410v1/GCF_012974105.1_ASM1297410v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_021474225.1,ASM2147422v1,Complete Genome,OC8,olive,Olea,Olea/olive-associated assemblies; olive quick decline context,not_resolved,"USA:Irvine, California",2022-01-15,2786612,52,96.54,0.15,data\fastas\GCF_021474225.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/474/225/GCF_021474225.1_ASM2147422v1/GCF_021474225.1_ASM2147422v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_002117875.1,ASM211787v1,Complete Genome,De Donno,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,Italy: Apulia (region),2017-05-04,2543738,52,96.88,0.17,data\fastas\GCF_002117875.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/875/GCF_002117875.1_ASM211787v1/GCF_002117875.1_ASM211787v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_002954205.1,ASM295420v1,Complete Genome,Salento-2,olive,Olea europaea,Olea/olive-associated assemblies; olive quick decline context,multiplex,"Italy: Ugento, Lecce, Apulia",2018-02-27,2543566,52,93.36,0.05,data\fastas\GCF_002954205.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/205/GCF_002954205.1_ASM295420v1/GCF_002954205.1_ASM295420v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042237735.1,ASM4223773v1,Chromosome,XYL466/19,olive,Olea europaea var. sylvestris,Olea/olive-associated assemblies; olive quick decline context,multiplex,"Spain: Sant Lloren, Mallorca",2024-09-25,2790648,52.5,96.76,0.17,data\fastas\GCF_042237735.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/237/735/GCF_042237735.1_ASM4223773v1/GCF_042237735.1_ASM4223773v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042237065.1,ASM4223706v1,Chromosome,XYL468,olive,Olea europaea var. sylvestris,Olea/olive-associated assemblies; olive quick decline context,multiplex,"Spain: Manacor, Mallorca",2024-09-25,2809670,52,96.76,0.17,data\fastas\GCF_042237065.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/237/065/GCF_042237065.1_ASM4223706v1/GCF_042237065.1_ASM4223706v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_004016415.2,ASM401641v2,Complete Genome,CFBP 8356,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,not_resolved,France: intercepted coffee plant,2025-12-18,2766210,52,95.68,0.17,data\fastas\GCF_004016415.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/016/415/GCF_004016415.2_ASM401641v2/GCF_004016415.2_ASM401641v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_001456195.2,ASM145619v2,Complete Genome,3124,coffee,Coffee,Coffea/coffee-associated assemblies; coffee leaf scorch context,multiplex,"Brazil: Matao, Sao Paulo",2020-11-13,2748592,52.5,95.87,0.26,data\fastas\GCF_001456195.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/195/GCF_001456195.2_ASM145619v2/GCF_001456195.2_ASM145619v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_048564955.1,CFBP8074,Complete Genome,CFBP8074,coffee,Coffee,Coffea/coffee-associated assemblies; coffee leaf scorch context,multiplex,Ecuador,2025-03-12,2614665,52.5,96.04,0.17,data\fastas\GCF_048564955.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/564/955/GCF_048564955.1_CFBP8074/GCF_048564955.1_CFBP8074_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_032594475.1,ASM3259447v1,Complete Genome,CFBP8478,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,not_resolved,France: Plant intercepted in from Costa Rica,2023-10-12,2676633,52,97.58,0.17,data\fastas\GCF_032594475.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/594/475/GCF_032594475.1_ASM3259447v1/GCF_032594475.1_ASM3259447v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_032594455.1,ASM3259445v1,Complete Genome,CO33,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,not_resolved,Italy: Plant intercepted in from Costa Rica,2023-10-12,2676561,52,97.58,0.17,data\fastas\GCF_032594455.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/594/455/GCF_032594455.1_ASM3259445v1/GCF_032594455.1_ASM3259445v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_041053125.1,ASM4105312v1,Complete Genome,50088,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,multiplex,Brazil,2024-08-05,2896312,53,96.72,0.17,data\fastas\GCF_041053125.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/053/125/GCF_041053125.1_ASM4105312v1/GCF_041053125.1_ASM4105312v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_028226975.1,ASM2822697v1,Complete Genome,CFBP8073,coffee,Coffea canephora,Coffea/coffee-associated assemblies; coffee leaf scorch context,not_resolved,France,2023-01-30,2741778,52,96.48,0.17,data\fastas\GCF_028226975.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/226/975/GCF_028226975.1_ASM2822697v1/GCF_028226975.1_ASM2822697v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_053901285.1,ASM5390128v1,Complete Genome,CFBP 8498,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,multiplex,Costa Rica: intercepted in France,2025-12-10,2703090,52.5,95.96,0.13,data\fastas\GCF_053901285.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/901/285/GCF_053901285.1_ASM5390128v1/GCF_053901285.1_ASM5390128v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_001469345.1,XYFPCFBP8072,Scaffold,CFBP8072,coffee,Coffea arabica,Coffea/coffee-associated assemblies; coffee leaf scorch context,multiplex,France,2015-12-18,2496662,52,96.18,0.19,data\fastas\GCF_001469345.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/345/GCF_001469345.1_XYFPCFBP8072/GCF_001469345.1_XYFPCFBP8072_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_001469395.1,XYFPCFBP8073,Scaffold,CFBP8073,coffee,Coffea canephora,Coffea/coffee-associated assemblies; coffee leaf scorch context,not_resolved,France,2015-12-18,2582150,51.5,96.7,0.17,data\fastas\GCF_001469395.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/395/GCF_001469395.1_XYFPCFBP8073/GCF_001469395.1_XYFPCFBP8073_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042241145.1,ASM4224114v1,Complete Genome,CFBP8173,other_prunus,Prunus salicina,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,USA: Georgia,2024-09-25,2548622,52,96.85,0.21,data\fastas\GCF_042241145.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/241/145/GCF_042241145.1_ASM4224114v1/GCF_042241145.1_ASM4224114v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_053901405.1,ASM5390140v1,Complete Genome,CFBP 8173,other_prunus,Prunus sp.,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,USA: Georgia,2025-12-10,2548613,52,94.7,0.1,data\fastas\GCF_053901405.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/901/405/GCF_053901405.1_ASM5390140v1/GCF_053901405.1_ASM5390140v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_053901235.1,ASM5390123v1,Complete Genome,CFBP 8075,other_prunus,Prunus sp.,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,USA: California,2025-12-10,2439535,52,92.79,0.1,data\fastas\GCF_053901235.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/901/235/GCF_053901235.1_ASM5390123v1/GCF_053901235.1_ASM5390123v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042242545.1,ASM4224254v1,Complete Genome,CFBP8075,other_prunus,Prunus sp.,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,USA: California,2024-09-25,2439524,52,96.66,0.21,data\fastas\GCF_042242545.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/242/545/GCF_042242545.1_ASM4224254v1/GCF_042242545.1_ASM4224254v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_001456295.2,ASM145629v2,Complete Genome,Pr8x,other_prunus,Plum,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,"Brazil: Jarinu, Sao Paulo",2020-11-13,2705820,52.5,95.96,0.17,data\fastas\GCF_001456295.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/295/GCF_001456295.2_ASM145629v2/GCF_001456295.2_ASM145629v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_003515915.2,ASM351591v2,Complete Genome,IVIA5235,other_prunus,Prunus avium,Non-almond Prunus/plum/cherry-associated assemblies,not_resolved,Spain: Mallorca Island,2020-08-27,2576214,51.5,97.26,0.17,data\fastas\GCF_003515915.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/515/915/GCF_003515915.2_ASM351591v2/GCF_003515915.2_ASM351591v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_015475955.1,ASM1547595v1,Complete Genome,Riv5,other_prunus,Prunus cerasifera,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,"USA:Riverside, California",2020-11-15,2538293,52,96.05,0.17,data\fastas\GCF_015475955.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/955/GCF_015475955.1_ASM1547595v1/GCF_015475955.1_ASM1547595v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055690575.1,ASM5569057v1,Complete Genome,BA_CH92_4,other_prunus,Prunus avium,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,Italy: Apulia,2026-03-05,2693813,52,96.46,0.31,data\fastas\GCF_055690575.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/690/575/GCF_055690575.1_ASM5569057v1/GCF_055690575.1_ASM5569057v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_042243345.1,ASM4224334v1,Complete Genome,CFBP8070,other_prunus,Prunus sp.,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,USA: Georgia,2024-09-25,2867959,52,95.99,0.31,data\fastas\GCF_042243345.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/243/345/GCF_042243345.1_ASM4224334v1/GCF_042243345.1_ASM4224334v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_028640715.1,ASM2864071v1,Scaffold,CFBP 13587,other_prunus,Prunus cerasus,Non-almond Prunus/plum/cherry-associated assemblies,multiplex,France,2023-02-15,2557488,52,96.76,0.17,data\fastas\GCF_028640715.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/640/715/GCF_028640715.1_ASM2864071v1/GCF_028640715.1_ASM2864071v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
